canonical_org_id,org_name,org_key,n_surveys,beneficiaries_reached_latest,beneficiaries_reached_delta,beneficiaries_reached_arrow,beneficiaries_reached_waves,business_perf_rating_latest,business_perf_rating_delta,business_perf_rating_arrow,business_perf_rating_waves,confidence_rating_latest,confidence_rating_delta,confidence_rating_arrow,confidence_rating_waves,customer_count_latest,customer_count_delta,customer_count_arrow,customer_count_waves,ebitda_latest,ebitda_delta,ebitda_arrow,ebitda_waves,fte_count_latest,fte_count_delta,fte_count_arrow,fte_count_waves,funding_total_latest,funding_total_delta,funding_total_arrow,funding_total_waves,jobs_created_latest,jobs_created_delta,jobs_created_arrow,jobs_created_waves,livelihoods_improved_latest,livelihoods_improved_delta,livelihoods_improved_arrow,livelihoods_improved_waves,monthly_revenue_latest,monthly_revenue_delta,monthly_revenue_arrow,monthly_revenue_waves,net_profit_latest,net_profit_delta,net_profit_arrow,net_profit_waves,nps_recommend_latest,nps_recommend_delta,nps_recommend_arrow,nps_recommend_waves,revenue_actuals_latest,revenue_actuals_delta,revenue_actuals_arrow,revenue_actuals_waves,wash_access_improved_latest,wash_access_improved_delta,wash_access_improved_arrow,wash_access_improved_waves,metrics_tracked,health_flag,ladder_stage,sdgs,iris_categories,last_wave,n_outliers,has_outlier,health_score,health_status,score_financial,score_social,score_reporting,score_imm,score_consistency,health_hygiene_engaged_latest,health_hygiene_engaged_delta,health_hygiene_engaged_arrow,health_hygiene_engaged_waves,health_hygiene_impact_latest,health_hygiene_impact_delta,health_hygiene_impact_arrow,health_hygiene_impact_waves,health_hygiene_informed_latest,health_hygiene_informed_delta,health_hygiene_informed_arrow,health_hygiene_informed_waves,health_hygiene_outcomes_latest,health_hygiene_outcomes_delta,health_hygiene_outcomes_arrow,health_hygiene_outcomes_waves,health_hygiene_societal_latest,health_hygiene_societal_delta,health_hygiene_societal_arrow,health_hygiene_societal_waves,runway_months_latest,runway_months_delta,runway_months_arrow,runway_months_waves,pct_women_reached_latest,pct_women_reached_delta,pct_women_reached_arrow,pct_women_reached_waves,monthly_expenses_latest,monthly_expenses_delta,monthly_expenses_arrow,monthly_expenses_waves,valuation_latest,valuation_delta,valuation_arrow,valuation_waves,cohorts,regions
org_016,AquaBright Solutions,aquabrightsolutions,3,1500.0,1499.0,up,2.0,9.0,0.5,up,2.0,8.0,,,1.0,0.0,-1.0,down,3.0,,,,,3.0,0.0,flat,3.0,0.0,-3800.0,down,2.0,,,,,,,,,0.0,,,1.0,,,,,10.0,,,1.0,,,,,,,,,14,Flat,Impact,"1,3,8",Employment | Health,2025-05,0,False,53,yellow,10.0,78.0,100,80.0,75,1913.0,-56.0,flat,2.0,1969.0,56.0,flat,2.0,1969.0,56.0,flat,2.0,1969.0,,,1.0,0.0,,,1.0,0.0,,,1.0,,,,,,,,,,,,,"AP1+AP2,AP2",
org_047,AquaLift Africa,aqualiftafrica,2,150000.0,,,1.0,9.0,5.0,up,2.0,4.0,,,1.0,50000.0,,,1.0,,,,,30.0,16.0,up,2.0,120000.0,-180000.0,down,2.0,,,,,,,,,42154.0,-7846.0,down,2.0,,,,,,,,,,,,,,,,,13,Declining,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,62,yellow,41.0,74.0,100,80.0,50,200000.0,,,1.0,200000.0,,,1.0,200000.0,,,1.0,,,,,,,,,3.0,,,1.0,67.0,,,1.0,47000.0,10447.0,up,2.0,,,,,AP4,
org_030,AquaVantage Group,aquavantagegroup,3,1500.0,,,1.0,8.5,,,1.0,,,,,50.0,,,1.0,,,,,502.5,492.5,up,2.0,4000.0,,,1.0,,,,,,,,,1400.0,-100.0,down,2.0,,,,,10.0,,,1.0,,,,,,,,,14,Flat,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,59,yellow,49.0,45.0,100,80.0,75,90.0,50.0,up,2.0,100.0,-200.0,down,2.0,1500.0,1435.0,up,2.0,90.0,50.0,up,2.0,0.0,,,1.0,1.5,,,1.0,70.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
org_060,Argent Water Technologies,argentwatertechnologies,1,1346070.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79200.0,,,1.0,,,,,,,,,,,,,,,,,4,Insufficient data,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,66,yellow,,88.0,40,,25,,,,,,,,,,,,,,,,,,,,,4.5,,,1.0,65.0,,,1.0,,,,,,,,,cross-cohort,
org_063,Ashgrove Solutions,ashgrovesolutions,1,50000.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000.0,,,1.0,,,,,,,,,,,,,,,,,4,Insufficient data,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,53,yellow,,67.0,40,,25,,,,,,,,,,,,,,,,,,,,,10.0,,,1.0,50.0,,,1.0,,,,,,,,,cross-cohort,
org_025,BlueHorizon Water,bluehorizonwater,3,10031.0,,,1.0,6.0,,,1.0,,,,,6000.0,,,1.0,,,,,18.0,-7.0,down,2.0,1250000.0,,,1.0,,,,,,,,,22199.47,12199.010000000002,up,2.0,,,,,10.0,,,1.0,,,,,,,,,14,Improving,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,83,green,100.0,57.0,100,80.0,75,1200.0,200.0,up,2.0,6000.0,-1152.0,down,2.0,10000.0,7000.0,up,2.0,0.0,,,1.0,0.0,,,1.0,12.0,0.0,flat,2.0,60.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
org_018,BlueRoot Africa,bluerootafrica,1,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,10000.0,,,1.0,,,,,,,,,800.0,,,1.0,,,,,,,,,,,,,,,,,3,Insufficient data,No maturity data,8,Employment,2023-10,0,False,28,red,,,30,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP2,
org_032,BrightPath Solutions,brightpathsolutions,2,120000.0,,,1.0,8.0,4.0,up,2.0,4.0,,,1.0,15.0,,,1.0,,,,,5.0,,,1.0,,,,,,,,,,,,,340000.0,40000.0,up,2.0,,,,,,,,,,,,,,,,,12,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,71,green,67.0,73.0,100,,50,0.0,,,1.0,0.0,,,1.0,0.0,,,1.0,,,,,,,,,18.0,,,1.0,50.0,,,1.0,60000.0,51000.0,up,2.0,,,,,AP4,
org_029,BrightSpring Health,brightspringhealth,2,,,,,8.5,,,1.0,,,,,3.0,,,1.0,,,,,53.0,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,,,1.0,,,,,,,,,10,Flat,No maturity data,"3,8",Employment | Health,2025-05,0,False,30,red,,0.0,100,,50,0.0,,,1.0,0.0,,,1.0,0.0,0.0,flat,2.0,0.0,,,1.0,0.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,AP3,
org_015,BrightWell Solutions,brightwellsolutions,4,1000.0,-34000.0,down,2.0,10.0,1.0,up,2.0,9.0,,,1.0,500.0,450.0,up,2.0,,,,,9.0,0.0,up,3.0,0.0,-3500000.0,flat,3.0,,,,,,,,,700.0,-1298.0000000000002,down,3.0,,,,,10.0,,,1.0,,,,,,,,,14,Declining,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,41,yellow,10.0,23.0,100,100.0,100,500.0,400.0,up,2.0,100.0,-400.0,down,2.0,1000.0,-9000.0,down,2.0,100.0,-400.0,down,2.0,100.0,-400.0,down,2.0,,,,,97.0,,,1.0,,,,,,,,,"AP1+AP2,AP2,cross-cohort",
org_058,Brightfield Enterprises,brightfieldenterprises,1,6396781.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000.0,,,1.0,,,,,,,,,,,,,,,,,3,Insufficient data,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,69,yellow,,97.0,30,,25,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,1.0,,,,,,,,,cross-cohort,
org_001,CleanPath Africa,cleanpathafrica,5,1175.0,1175.0,flat,7.0,4.0,0.0,down,3.0,3.0,-2.0,down,2.0,13.0,,,1.0,0.0,0.0,flat,3.0,1.0,1.0,down,6.0,3000.0,168.75,down,4.0,3.0,1.0,up,3.0,0.0,0.0,flat,2.0,0.0,0.0,flat,2.0,0.0,0.0,flat,3.0,10.0,,,1.0,15000.0,15000.0,up,3.0,0.0,0.0,flat,2.0,14,Improving,No maturity data,"1,3,6,8","Employment | Financial Inclusion | Health | Water, Sanitation & Hygiene (WASH)",2024-10,0,False,64,yellow,60.0,44.0,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP1,"SA,SA+BRA"
org_051,CleanSource Africa,cleansourceafrica,2,280000.0,,,1.0,8.0,4.0,up,2.0,5.0,,,1.0,20.0,,,1.0,,,,,170.0,,,1.0,537146.69,,,1.0,,,,,,,,,84087.0,-95331.89000000001,down,2.0,,,,,,,,,,,,,,,,,13,Declining,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,50,yellow,10.0,78.0,100,80.0,50,0.0,,,1.0,150000.0,,,1.0,120000.0,,,1.0,,,,,,,,,10.0,,,1.0,30.0,,,1.0,201503.85,54114.850000000006,up,2.0,,,,,AP4,
org_002,ClearWave Africa,clearwaveafrica,6,400.0,400.0,up,5.0,10.0,5.0,up,4.0,5.0,0.0,flat,2.0,2.0,1.0,up,2.0,1670000.0,,,1.0,3.0,1.0,flat,5.0,0.0,0.0,down,5.0,15.0,,,1.0,,,,,1750.0,750.0,up,2.0,0.0,,,1.0,10.0,0.0,flat,2.0,1670000.0,,,1.0,,,,,18,Improving,Impact,"1,3,8",Employment | Health,2025-10,0,False,79,green,100.0,37.0,100,80.0,100,7800.0,,,1.0,7800.0,,,1.0,7800.0,,,1.0,7800.0,,,1.0,0.0,,,1.0,6.0,3.0,up,2.0,,,,,,,,,,,,,"AP1,AP1+AP2,cross-cohort","SA,SA+BRA"
org_066,Copperleaf Health Group,copperleafhealthgroup,1,2000.0,1500.0,up,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,1.0,,,,,,,,,,,,,,,,,4,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,60,yellow,,79.0,40,,25,,,,,,,,,,,,,,,,,,,,,18.0,,,1.0,60.0,,,1.0,,,,,,,,,cross-cohort,
org_009,CrystalFlow Systems,crystalflowsystems,3,150.0,30.0,down,3.0,10.0,,,1.0,,,,,3.0,3.0,up,3.0,,,,,6.0,3.0,up,3.0,118000.0,118000.0,up,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Improving,No maturity data,"1,3,8",Employment | Health,2024-10,0,False,60,yellow,,59.0,50,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP1,"BRA,SA+BRA"
org_021,Daniel Osei,danielosei,1,48000.0,24000.0,up,2.0,5.0,,,1.0,5.0,,,1.0,68.0,38.0,up,2.0,,,,,7.0,3.0,up,2.0,150000.0,125000.0,up,2.0,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,7,Improving,No maturity data,"1,3,8",Employment | Health,2024-04,0,False,84,green,100.0,87.0,70,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AP2,
org_024,EarthGuard Solutions,earthguardsolutions,3,6000.0,,,1.0,8.5,,,1.0,,,,,147.0,,,1.0,,,,,20.0,7.0,up,2.0,50000.0,,,1.0,,,,,,,,,3000.0,-5000.0,down,2.0,,,,,10.0,,,1.0,,,,,,,,,14,Flat,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,48,yellow,10.0,54.0,100,100.0,75,2000.0,1770.0,up,2.0,30000.0,-21000.0,down,2.0,2000.0,1770.0,up,2.0,0.0,0.0,flat,2.0,30000.0,15000.0,up,2.0,6.0,4.0,up,2.0,65.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
org_054,EcoBridge Innovations,ecobridgeinnovations,2,480726.0,,,1.0,7.0,,,1.0,,,,,,,,,,,,,2.0,,,1.0,320000.0,,,1.0,,,,,,,,,14000.0,1500.0,up,2.0,,,,,10.0,,,1.0,,,,,,,,,13,Improving,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,76,green,66.0,81.0,100,100.0,50,50.0,,,1.0,975.0,,,1.0,690.0,,,1.0,1433.0,,,1.0,3986.0,,,1.0,8.0,-2.0,down,2.0,70.0,,,1.0,,,,,,,,,cross-cohort,
org_008,EcoPulse Technologies,ecopulsetechnologies,5,2000.0,-13000.0,down,4.0,8.0,0.0,flat,2.0,,,,,5000.0,4997.0,up,4.0,,,,,12.0,0.0,flat,4.0,100000.0,-50000.0,down,5.0,,,,,,,,,10000.0,0.0,flat,2.0,,,,,8.0,,,1.0,,,,,,,,,14,Declining,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,59,yellow,55.0,25.0,100,100.0,100,0.0,,,1.0,1000.0,,,1.0,1000.0,,,1.0,1000.0,,,1.0,1000.0,,,1.0,0.0,,,1.0,50.0,,,1.0,,,,,,,,,"AP1,AP1+AP2,cross-cohort","BRA,SA+BRA"
org_035,EcoSprout Enterprises,ecosproutenterprises,2,127500.0,,,1.0,9.0,5.0,up,2.0,4.0,,,1.0,74500.0,,,1.0,,,,,15.0,,,1.0,0.0,-1000000.0,down,2.0,,,,,,,,,18000.0,-500.0,flat,2.0,,,,,,,,,,,,,,,,,13,Flat,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,66,yellow,53.0,73.0,100,80.0,50,4200.0,,,1.0,129850.0,,,1.0,14000.0,,,1.0,,,,,,,,,5.0,,,1.0,72.0,,,1.0,15200.0,3200.0,up,2.0,,,,,AP4,
org_004,EverGreen Access,evergreenaccess,6,20.0,0.0,down,6.0,6.0,1.0,up,4.0,4.0,0.0,flat,2.0,2.0,1.0,up,2.0,600000.0,407846.0,up,3.0,3.0,-1.0,down,7.0,8000.0,-47000.0,down,5.0,3.0,-42.5,down,3.0,,,,,6041.0,6041.0,up,2.0,30000.0,-162154.0,up,3.0,9.0,-1.0,down,2.0,1011000.0,-1002399.0,down,3.0,,,,,18,Improving,Societal Impact,"1,3,8",Employment | Health,2025-04,0,False,46,yellow,10.0,40.0,100,100.0,100,27.0,,,1.0,700.0,,,1.0,0.0,,,1.0,700.0,,,1.0,700.0,,,1.0,4.0,,,1.0,,,,,,,,,,,,,"AP1,AP1+AP2","SA,SA+BRA"
org_067,Fernhill Innovations,fernhillinnovations,1,250000.0,120000.0,up,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123767.0,,,1.0,,,,,,,,,,,,,,,,,4,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Health,2025-10,0,False,68,yellow,,91.0,40,,25,,,,,,,,,,,,,,,,,,,,,24.0,,,1.0,50.0,,,1.0,,,,,,,,,cross-cohort,
org_006,FreshStart Enterprises,freshstartenterprises,6,187112.0,67112.0,up,8.0,5.0,1.0,down,3.0,4.0,-1.0,down,2.0,9.0,,,1.0,369992.0,-220614.63,down,3.0,22.0,14.0,up,6.0,7000000.0,6600000.0,up,4.0,130.0,120.0,up,3.0,90.0,30.0,up,2.0,1250000.0,1205000.0,up,3.0,369992.0,-55244.32000000001,down,3.0,10.0,,,1.0,8367776.0,4033388.33,up,3.0,150000.0,30000.0,up,2.0,16,Improving,No maturity data,"1,3,5,6,8","Diversity & Inclusion | Employment | Financial Inclusion | Health | Water, Sanitation & Hygiene (WASH)",2025-10,0,False,97,green,100.0,90.0,100,,100,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,54.0,,,1.0,,,,,,,,,"AP1,cross-cohort","SA,SA+BRA"
org_031,FreshWave Solutions,freshwavesolutions,3,52370.0,,,1.0,8.0,,,1.0,,,,,120000.0,,,1.0,,,,,5.0,-17.0,down,2.0,,,,,,,,,,,,,22000.0,5831.0,up,2.0,,,,,10.0,,,1.0,,,,,,,,,13,Improving,Societal Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,83,green,87.0,67.0,100,100.0,75,0.0,,,1.0,800000.0,,,1.0,800000.0,800000.0,up,2.0,800000.0,,,1.0,800000.0,,,1.0,0.0,-1.5,down,2.0,100.0,,,1.0,,,,,,,,,"AP3,cross-cohort",
org_039,GreenLeaf Ventures,greenleafventures,2,1500000.0,,,1.0,9.0,6.0,up,2.0,4.0,,,1.0,700.0,,,1.0,,,,,16.0,-6.0,down,2.0,5000000.0,,,1.0,,,,,,,,,83000.0,-36048.0,down,2.0,,,,,,,,,,,,,,,,,13,Declining,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,58,yellow,28.0,88.0,100,,50,0.0,,,1.0,0.0,,,1.0,0.0,,,1.0,,,,,,,,,8.0,,,1.0,65.0,,,1.0,35000.0,-5000.0,down,2.0,,,,,AP4,
org_045,GreenTide Innovations,greentideinnovations,2,32517.0,,,1.0,10.0,6.0,up,2.0,4.0,,,1.0,8274.0,,,1.0,,,,,15.0,,,1.0,125000.0,-625000.0,down,2.0,,,,,,,,,19532.0,2732.0,up,2.0,,,,,,,,,,,,,,,,,12,Improving,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,0,False,70,green,70.0,64.0,100,80.0,50,33098.0,,,1.0,33098.0,,,1.0,7400000.0,,,1.0,,,,,,,,,,,,,100.0,,,1.0,14000.0,8310.0,up,2.0,,,,,AP4,
org_011,GreenWave Enterprises,greenwaveenterprises,5,41616.0,18616.0,flat,4.0,7.0,,,1.0,,,,,23.0,5.0,flat,3.0,,,,,17.0,5.0,up,3.0,1950477.49,1850477.49,up,4.0,,,,,,,,,28428.09,,,1.0,,,,,,,,,,,,,,,,,8,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,93,green,100.0,86.0,80,,100,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,52.0,0.0,flat,2.0,,,,,,,,,"AP1,cross-cohort","BRA,SA+BRA"
org_034,HopeWell Initiative,hopewellinitiative,2,240068.0,,,1.0,6.0,3.0,up,2.0,4.0,,,1.0,906.0,,,1.0,,,,,60.0,-52.0,down,2.0,3600000.0,,,1.0,,,,,,,,,24819.0,-10181.0,down,2.0,,,,,,,,,,,,,,,,,13,Declining,Impact,"1,3,5,8",Diversity & Inclusion | Employment | Health,2026-05,1,True,58,yellow,29.0,77.0,100,80.0,50,28900000.0,,,1.0,14500000.0,,,1.0,,,,,,,,,,,,,4.0,,,1.0,55.0,,,1.0,16602.0,6602.0,up,2.0,15000000.0,,,1.0,AP4,
org_007,HydroGuard Solutions,hydroguardsolutions,5,300000.0,100000.0,flat,5.0,10.0,,,1.0,,,,,4315.0,315.0,up,3.0,,,,,6.0,3.0,up,3.0,0.0,0.0,flat,4.0,,,,,,,,,10000.0,,,1.0,,,,,,,,,,,,,,,,,7,Improving,No maturity data,"1,3,5,8",Diversity & Inclusion | Employment | Health,2025-10,0,False,89,green,,91.0,70,,100,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,1.0,,,,,,,,,"AP1,cross-cohort","BRA,SA+BRA"
